City,Hotel Name,Hotel Address,Average Rating,Number of Reviews,Cost of Stay,Provider
Toronto,One King West Hotel & Residence,"1 King Street West, Toronto, ON M5H 1A1",8.7,"5,954",517,Expedia
Toronto,Fairmont Royal York,"100 Front Street West, Toronto, ON M5J 1E3",8.7,"3,718",562,Expedia
Toronto,"The Westin Harbour Castle, Toronto","1 Harbour Square, Toronto, ON M5J 1A6",8.2,"2,968",541,Expedia
Toronto,A Stunning Chalet Style Home,North York,9.4,34,225,Booking.com
Toronto,DoubleTree by Hilton Toronto Downtown,"108 Chestnut Street, Toronto, ON M5G 1R3",7.8,"3,313",371,Expedia
Toronto,DoubleTree by Hilton Toronto Airport,"925 Dixon Road, Toronto, ON M9W 1J8",8.2,"1,115",374,Doubletree by Hilton
Toronto,Simply Comfort. Maple Leaf Square,Downtown,8.5,253,441,Booking.com
Toronto,Hyatt Regency Toronto,"370 King Street West, Toronto, ON M5V 1J9",8.3,"1,539",471,Expedia
Toronto,Sheraton Toronto Airport Hotel & Conference Centre,"801 Dixon Road, Toronto, ON M9W 1J5",8.4,282,361,Expedia
Toronto,Star Villa,Etobicoke,7.5,130,187,Booking.com
Toronto,Cambridge Suites Toronto,"15 Richmond Street East, Toronto, ON M5C 1N2",9.2,21,384,Expedia
Toronto,Sheraton Centre Toronto Hotel,"123 Queen Street West, Toronto, ON M5H 2M9",8.5,"1,777",533,Sheraton
Toronto,Life Suites Loft - Cn Tower,Downtown,7.5,459,501,Booking.com
Toronto,Old Mill Toronto,"9 Old Mill Road, Toronto, ON M8X 1G5",8.6,202,562,Expedia
Toronto,The Westin Toronto Airport,"950 Dixon Road, Toronto, ON M9W 5N4",8.1,308,407,Expedia
Toronto,Simply Comfort Modern Apt North York,North York,8.6,51,624,Booking.com
Toronto,Hilton Toronto,"145 Richmond Street West, Toronto, ON M5H 2L2",8.2,"1,128",586,Expedia
Toronto,Marriott Downtown at CF Toronto Eaton Centre,"525 Bay Street, Toronto, ON M5G 2L2",8.6,"1,159",567,Marriott Hotels & Resorts
Toronto,"Upscale Suite at CN Tower, Metro Convention & Rogers Centre",Downtown,9.5,37,692,Booking.com
Toronto,Sandman Signature Toronto Airport Hotel,"55 Reading Crt, Toronto, ON M9W 7K7",7.9,"1,070",318,Expedia
